,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
ABIA,"Evaporated tinned milk(peak), 170g",133.49206349206298,134.0651260504195,138.4829059829055,135.678571428571,135.882352941176,136.722222222222,136.909722222222,137.4305555555555,144.16666666666652,161.0339494674385,150.4365079365075,160.31746031746
ABIA,Frozen chicken,1144.94047619047,1128.57142857143,1204.54545454545,1238.98601398601,1255.60606060606,1281.86813186813,1309.375,1332.467532467525,1329.64285714286,1331.04428571429,1325,1455.5944055944
ABIA,"Gari white,sold loose",114.54317460317401,118.4895798319325,126.82504201680601,138.103974358974,181.190666666666,200.247912280701,187.5265808823525,196.425833333333,193.976468253968,221.0090656690605,222.44801587301498,224.32
ABIA,"Gari yellow,sold loose",120.211706349206,124.34170168067149,137.87023809523748,160.4638311688305,198.177208333333,213.064423076923,189.325294117647,192.5880555555555, ,234.1155224027315,230.22638888888798,238.54
ABIA,Mudfish (aro) fresh,780.23,781.166276,782.1036755312001,783.0421999418376,783.9818505817678,784.9226288024661,785.8645359570291,786.8075734001776,787.7517424882578,874.98160558658,876.031583513284,877.0828214135
ABIA,Mudfish : dried,2154.3649999999952,1925.73166666666,1995.03416666666,2198.7749999999996,2111.8175,2003.42833333333,2156.18958333333,2060.0735416666603,2257.004999999995,2210.42396197577,2267.79208333333,2523.024499999995
ABIA,Onion bulb,207.884087301586,203.168928571428,174.75857142857,181.153954248365,184.745595238095,203.505876623376,219.9475,231.377873303167,247.8063492063485,220.551086073786,233.99275210084,250.12
ABIA,Rice agric sold loose,253.47675,243.099,250.42555555555498,276.4962121212115,323.790125,342.71840909090895,326.205694444444,361.81912499999896,427.8619999999995,424.182572157786,427.40700000000004,430.44
ABIA,Rice local sold loose,157.19918067226848,175.11781746031699,215.271439393939,200.478333333333,226.798169642857,271.29656250000005,265.86541666666653,284.342936507936,352.24607142857053,304.9141198673355,330.906517094017,359.3084873949575
ABIA,Rice Medium Grained,191.3471428571425,189.3780714285705,243.7598076923075,254.41511904761848,285.1391666666665,331.10028409090853,301.7971428571425,338.4893749999995,400.522499999999,353.84612290408097,414.2854999999995,425.12
ABIA,"Rice,imported high quality sold loose",220.81565789473598,222.4859920634915,293.963696581196,295.01416666666603,344.018333333333,374.233571428571,347.95166666666603,371.944444444444,448.8062301587295,406.0752068459605,455.94119047619,456.58
ABIA,Tomato,244.533293650793,197.8652380952375,180.91226190476152,262.548611111111,816.7249025974,658.9879999999995,683.8042207792205,304.010674603174,260.2740625,285.4630856948885,307.349722222222,311.35
ABIA,Yam tuber,100.1387301587297,129.604404761904,128.6604761904755,125.3522222222215,184.899886363636,208.52785714285648,187.87428571428552,203.1424553571425,171.4538492063485,170.960414277135,172.70813025209998,178.22
ANAMBRA,Agric eggs medium size,340.0416666666665,343.333333333333,356.636904761904,367,362.97619047619,391.811594202898,387.8260869565215,391.884057971014,396.875,494.6701821218755,438.64583333333303,438.5217391304345
ANAMBRA,Agric eggs(medium size price of one),29.5833333333333,29.79166666666665,30,31.04166666666665,38.977272727272705,34.89130434782605,34.4565217391304,35.8695652173913,36.695402298850496,39.6197744334806,38.9583333333333,40
ANAMBRA,"Beans brown,sold loose",238.0268749999995,242.9471999999995,264.44479166666645,260.9760869565215,274.70522727272703,313.08992753623147,315.545119047619,332.975227272727,373.248199999999,380.326528363635,400.29406862745054,415.8297916666665
ANAMBRA,Beans:white black eye. sold loose,223.8684857142855,223.5103846153845,246.07749999999947,245.16874999999948,252.6043939393935,291.75199275362297,316.800833333333,318.2475362318835,354.954871794871,359.1715306666665,378.9544956140345,382.48391304347797
ANAMBRA,Beef Bone in,781.1284999999996,791.6169696969689,801.1387499999995,882.4499999999995,793.8666666666666,836.107045454545,835.345,971.3532051282045,911.6524999999999,1099.46400411683,1048.618958333333,946.712916666667
ANAMBRA,"Beef,boneless",1113.491666666665,1165.176666666665,1110.19727272727,1238.824999999995,1174.159545454545,1143.01541666666,1193.645,1207.7607575757552,1236.51923076923,1268.19723375008,1281.68861111111,1302.11742424242
ANAMBRA,Bread sliced 500g,241.66666666666652,237.4999999999995,280.83333333333303,250,247.222222222222,263.6363636363635,329.5454545454545,310.60606060606,294.1666666666665,311.9273893733915,329.1666666666665,327.08333333333303
ANAMBRA,Bread unsliced 500g,235,279.1666666666665,274.58333333333303,224.9999999999995,232.66666666666652,296.212121212121,300,269.230769230769,321.15384615384596,298.2457799166665,314.6825396825395,320.833333333333
ANAMBRA,Broken Rice (Ofada),370.22,371.33065999999997,360,361.08,380.67,440,441.31999999999994,488.24,489.70471999999995,415.64453835,416.89147196504996,418.14214638094506
ANAMBRA,Chicken Feet,675.09,800,766.67,758.335,700.54,762.8199999999999,771.8,646.15,750,844.4080746908239,800,800.11
ANAMBRA,Chicken Wings,776.34,800,800,800,850,863.3325,757.145,867.485,862.5,1122.13245166687,1050,1050
